coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce
0f69280c-aabf-42cc-b2b3-b780661cd193,story_image,url,image,remote/story_image/03f0bf1c-fbf6-4c27-827b-9811beabdcc1.png,https://tetogames.com/static/openstory/tournament/1469/ai-1777923484.png,ai-1777923484.png,image/png,2419883,1024,2048,"",ce11e9605501c77966c4387af27ce32572cff37002de79d615c66cdfe28c5450,"",2026-05-04 19:39:12.533000,2026-05-04 19:39:12.533000
7cca66f2-a854-4ca5-9fc9-b6115abb870a,story_image,url,image,remote/story_image/529e39b4-23df-48be-86c6-f2eed22ae3b1.png,https://tetogames.com/static/openstory/tournament/1463/ai-1777923733.png,ai-1777923733.png,image/png,3140066,1024,2048,"",d3d10ea13d67639c854d851e2f5905192a8c2af7f4b68e4e9e6938b856c73377,"",2026-05-04 19:44:08.219000,2026-05-04 19:44:08.219000
a54364e4-5515-4118-b62e-3e7d659a3a28,story_image,url,image,remote/story_image/ff151d73-5b53-418d-9d88-16e5e72dc5ed.png,https://tetogames.com/static/openstory/tournament/1457/ai-1777924766.png,ai-1777924766.png,image/png,3062361,1024,2048,"",5b418483ec80d33dd57180a79f285efb0f722b86745f391ba9312805d6d85680,"",2026-05-04 20:01:33.728000,2026-05-04 20:01:33.728000
d574c1d2-32ea-47df-993b-1b8921bef8a1,story_image,url,image,remote/story_image/4b7fe67c-b299-49c1-a961-4ce6569dac8c.jpg,https://tetogames.com/static/openstory/tournament/1460/ai-1777972117.jpg,ai-1777972117.jpg,image/jpeg,274785,1024,2048,"",0b77e884f88b67b47428b31a572e8312afabf05edb93d2d9aeaf01b71b167e91,"",2026-05-05 09:09:16.473000,2026-05-05 09:09:16.473000
02b825b8-17ec-4c0f-884c-c815e9319f21,story_image,url,image,remote/story_image/2ef2c5af-eb0e-4c08-b565-424d37883454.jpg,https://tetogames.com/static/openstory/tournament/1458/ai-1777997382.jpg,ai-1777997382.jpg,image/jpeg,376948,1024,2048,"",1183d7d4aecfd425b345ae8c92926f70d6f739203872e6900d5961781f321405,"",2026-05-05 16:09:58.253000,2026-05-05 16:09:58.253000
cf18ae3f-0c21-4c9c-8678-9c89f6f11e05,story_image,url,image,remote/story_image/46869ffa-2ffd-4fff-bb6b-d742372a197d.jpg,https://tetogames.com/static/openstory/tournament/1461/ai-1778185480.jpg,ai-1778185480.jpg,image/jpeg,276152,1024,2048,"",88cd116b4b2d5a514c00ca0c6fafa1ae0d6dc3fa7adb44c613290c92aa6eeb21,"",2026-05-07 21:41:45.816000,2026-05-07 21:41:45.816000
73abba0c-19bc-4fa9-8876-25a6b0d2509b,story_video,cloud_upload,video,assets/story_video/b68d6771-f792-4638-b704-8a3b46cfdb58.mp4,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_video/b68d6771-f792-4638-b704-8a3b46cfdb58.mp4,pol.mp4,video/mp4,1478571,1080,1920,5000,4102fa3faec2cfc0906a994705140034bdee687e97990aa1d2ad33f5490c9e6b,10e6e499-62df-4c07-8c17-7c7f7a7a1eb6,2026-05-08 14:08:13.547000,2026-05-08 14:08:13.547000
0ba295f2-d7e6-4179-ae92-72bbfbc02bc7,story_video_poster,cloud_upload,image,assets/story_video_poster/1e949cff-b1d8-409c-bf90-507ac7913204.jpg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_video_poster/1e949cff-b1d8-409c-bf90-507ac7913204.jpg,Image copy.jpg,image/jpeg,182201,900,1600,"",eba5bbf93ab7994b91c1309ed91be6f36447ee13b8e0b299e32024fea2b89e7f,10e6e499-62df-4c07-8c17-7c7f7a7a1eb6,2026-05-08 14:10:27.663000,2026-05-08 14:10:27.663000
7e1347dc-5fbb-458b-b4cc-a631a1c31eab,group_logo,url,image,remote/group_logo/2b5a7c96-2ba4-4d21-852a-24d7b8cb54be.png,https://tetogames.com/static/NON_IMAGE.png,NON_IMAGE.png,image/png,8800,500,500,"",4da31d63447a2ac8fde1694e3f06c1155647d12cb18363d19651b96b62a91e66,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-10 08:27:55.027000,2026-05-10 08:27:55.027000
6c4339fa-c38e-4924-8a03-586d11716d51,story_image,cloud_upload,image,assets/story_image/05e39591-c0a6-40c4-84a0-e9a194da05d4.jpeg,https://qxflnzftqhyywxpkqqlk.supabase.co/storage/v1/object/public/Open%20Story%20Bucket/assets/story_image/05e39591-c0a6-40c4-84a0-e9a194da05d4.jpeg,WhatsApp Image 2026-05-10 at 11.29.07.jpeg,image/jpeg,129166,889,1600,"",da528421c36ca62e25f1018f317c8b99427cb1875d35f39915616cf3220fcb6a,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-10 08:29:29.621000,2026-05-10 08:29:29.621000
