coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce,coalesce
fbb549e7-ae97-452b-960a-49db06e2e67c,ecec1823-5875-40bb-8392-dbad276e6ce5,1,Always-ON Azərbaycan Mövsüm 2 Həftə 3 Story,image,f5cf0cb3-178b-409c-92f0-e8d23bbbbf40,"",5000,Detay,deeplink,/tournament_detail?id=1464&tournament_name=Always-ON+Az%C9%99rbaycan+M%C3%B6vs%C3%BCm+2+H%C9%99ft%C9%99+3,published,"",2026-05-12 15:31:23.419000
3057461c-57b5-4d7e-b5c4-522bbc654b67,f9262700-8cac-403b-bfd4-c832b3dc80b0,1,Wild Rift Road to LEGENDS Hafta 4 Story,image,c086e679-b06d-434a-b232-0b59ce6bf0ca,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1470&tournament_name=Wild+Rift+Road+to+LEGENDS+Hafta+4,published,"",2026-05-12 15:33:07.346000
46ccba29-d6e6-4bbe-9099-370d622f9e9f,fc847328-45d5-4042-953d-e3f6c7cd5505,1,Wild Rift Road to LEGENDS Hafta 4 Story,image,c086e679-b06d-434a-b232-0b59ce6bf0ca,"",5000,Detay,deeplink,/tournament_detail?id=1470&tournament_name=Wild+Rift+Road+to+LEGENDS+Hafta+4,published,"",2026-05-12 15:33:49.006000
3ef4a816-b546-473f-baa1-65fcd1dc6b74,ef6db151-71b9-40f6-8b1d-d46d153de3fa,1,Always-ON România Sezonul 2 Lunar Story,image,459cfb1d-da41-4a24-96e2-85bbf9206f88,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1459&tournament_name=Always-ON+Rom%C3%A2nia+Sezonul+2+Lunar,published,"",2026-05-12 15:34:59.106000
65e7ff71-0b15-46ef-a4be-477df8b0c100,3df9c114-fea6-40bf-baed-418cffe3a501,1,Always-ON România Sezonul 2 Lunar Story,image,459cfb1d-da41-4a24-96e2-85bbf9206f88,"","",Detay,deeplink,/tournament_detail?id=1459&tournament_name=Always-ON+Rom%C3%A2nia+Sezonul+2+Lunar,published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-12 17:00:18.323000
36c8e9c3-2fae-4426-9625-69c1d4018855,6e5406ce-6dfa-4d04-96e7-75726a52c37f,1,Always-ON Polska Sezon 2 Miesięcznik Story,image,d5a81523-914e-4b38-bbdd-cfb523934cf6,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1462&tournament_name=Always-ON+Polska+Sezon+2+Miesi%C4%99cznik,published,"",2026-05-14 19:56:30.591000
84fca6cc-f58a-4be9-81c6-f301e3eb4250,9b8b1722-edac-4057-91d1-1a675666cb8e,1,Always-ON Polska Sezon 2 Miesięcznik Story,image,d5a81523-914e-4b38-bbdd-cfb523934cf6,"",5000,Detay,deeplink,/tournament_detail?id=1462&tournament_name=Always-ON+Polska+Sezon+2+Miesi%C4%99cznik,published,"",2026-05-14 19:57:06.512000
4cff04ac-227c-40b4-b95e-d27fe5ce5949,36f08cba-6f7d-4c2d-9d9d-d06c42171dbf,1,19 Mayıs,image,52ea97a2-a67d-46aa-9a85-ac20f2857ef2,"","","","","",published,9e2848e0-25eb-4d97-9dd7-525826848150,2026-05-18 22:02:35.625000
0395f87a-b097-4617-80d2-868c32b67ad4,94b28c87-4eb6-46da-aaf0-e3c7dbe0a2a6,1,Always-ON Azərbaycan Mövsüm 2 Həftə 4 Story,image,3d3c663d-38b4-496c-93a3-840194ad3b7a,"",5000,Kayıt Ol,deeplink,/tournament_detail?id=1465&tournament_name=Always-ON+Az%C9%99rbaycan+M%C3%B6vs%C3%BCm+2+H%C9%99ft%C9%99+4,published,"",2026-05-19 05:04:11.723000
4f22193f-70be-478a-807c-74aa9ffaa896,24eabb4e-9972-4498-af76-560c9a451664,1,Always-ON Azərbaycan Mövsüm 2 Həftə 4 Story,image,3d3c663d-38b4-496c-93a3-840194ad3b7a,"",5000,Detay,deeplink,/tournament_detail?id=1465&tournament_name=Always-ON+Az%C9%99rbaycan+M%C3%B6vs%C3%BCm+2+H%C9%99ft%C9%99+4,published,"",2026-05-19 05:04:46.229000
